Año,Bencineros,Electricos,Buses Producidos,Bencineros último año,Inventario
1,5504,1034,1034,404,332.8169295976695
2,5100,1526,492,532,1842.4776853968215
3,4568,2102,576,666,1761.7588827887375
4,3902,2790,688,798,4725.634588158486
5,3104,3627,837,926,3464.545718795416
6,2178,4647,1020,1047,1961.6172638449643
7,1131,5897,1250,1131,6219.0704428302415
8,0,7367,1470,0,430200.11972900433
9,0,7411,44,0,12620785.940412706
10,0,7454,43,0,24770343.919668436
11,0,7498,44,0,36857261.82657992
12,0,7542,44,0,48884226.23510048
13,0,7579,37,0,60895661.92739218
14,0,7586,7,0,73043858.30828261
15,0,7871,285,0,83068859.58378994
